year_week	year	week	excess_ttl
2020_01	2020	1	-0.04836443922538425
2020_02	2020	2	-0.0636284384209718
2020_03	2020	3	-0.023056340875034338
2020_04	2020	4	-0.05771913905741284
2020_05	2020	5	-0.03883823148521888
2020_06	2020	6	-0.031130948745151217
2020_07	2020	7	-0.012805968789781205
2020_08	2020	8	-0.009618363658623402
2020_09	2020	9	0.045399709742831876
2020_10	2020	10	-0.005905944754192204
2020_11	2020	11	-0.011334184846316457
2020_12	2020	12	0.0034381740565896275
2020_13	2020	13	-0.03784973198417729
2020_14	2020	14	0.08071274692423161
2020_15	2020	15	0.03784451095724461
2020_16	2020	16	0.10904587362284048
2020_17	2020	17	0.17317702889689665
2020_18	2020	18	0.11015856320920003
2020_19	2020	19	0.14852507893107963
2020_20	2020	20	0.11298601787991847
2020_21	2020	21	0.059628744998563236
2020_22	2020	22	0.09179703885037427
2020_23	2020	23	0.010351913972311234
2020_24	2020	24	-0.026071802853949617
2020_25	2020	25	0.026899928119746078
2020_26	2020	26	0.03346313738422525
2020_27	2020	27	0.0006272673773675051
2020_28	2020	28	-0.007129729042209625
2020_29	2020	29	-0.020284326269623107
2020_30	2020	30	-0.0033300224200521955
2020_31	2020	31	0.035554376122809
2020_32	2020	32	0.01031136354919702
2020_33	2020	33	0.015921667112721787
2020_34	2020	34	0.030258952889487205
2020_35	2020	35	0.025402941655324845
2020_36	2020	36	-0.005672706496839635
2020_37	2020	37	0.03564559180033089
2020_38	2020	38	-0.02320112184365969
2020_39	2020	39	0.02792691270079926
2020_40	2020	40	0.019669075310321013
2020_41	2020	41	0.0009078546024322512
2020_42	2020	42	0.019712586321051655
2020_43	2020	43	0.035607650315792
2020_44	2020	44	0.003081309415841322
2020_45	2020	45	0.008680423634592278
2020_46	2020	46	0.03502996632255554
2020_47	2020	47	0.07253927234520481
2020_48	2020	48	0.0834148303121543
2020_49	2020	49	0.06945028961078621
2020_50	2020	50	0.10549951704443844
2020_51	2020	51	0.13716827702949735
2020_52	2020	52	0.1332236668900616
2021_01	2021	1	0.029994913924513474
2021_02	2021	2	0.046981225447821046
2021_03	2021	3	0.03751309947992419
2021_04	2021	4	-0.019633696938867396
2021_05	2021	5	0.020649167245754947
2021_06	2021	6	-0.009149120608949473
2021_07	2021	7	0.028631061025893814
2021_08	2021	8	0.015999433922023645
2021_09	2021	9	-0.008373623023482348
2021_10	2021	10	-0.0060501844043595624
2021_11	2021	11	-0.00571783570870208
2021_12	2021	12	-0.05938208522649603
2021_13	2021	13	-0.0629681328680101
2021_14	2021	14	-0.04418795839471028
2021_15	2021	15	-0.056046560352108636
2021_16	2021	16	-0.010152730998700165
2021_17	2021	17	-0.024174444753582294
2021_18	2021	18	-0.030714438556729257
2021_19	2021	19	0.009221917411562664
2021_20	2021	20	0.00024188608272770527
2021_21	2021	21	-0.057988493184115954
2021_22	2021	22	-0.032083214835660186
2021_23	2021	23	-0.050472075414782096
2021_24	2021	24	-0.06440336376307007
2021_25	2021	25	0.014480880890166784
2021_26	2021	26	-0.004681115319639181
2021_27	2021	27	-0.010013300352151113
2021_28	2021	28	-0.015288247189314591
2021_29	2021	29	0.014164539656773036
2021_30	2021	30	0.004462402054379846
2021_31	2021	31	0.059457761739973886
2021_32	2021	32	0.03734395661298582
2021_33	2021	33	0.04912448369865715
2021_34	2021	34	0.030449586872713996
2021_35	2021	35	0.06253821830364294
2021_36	2021	36	0.01106037165653765
2021_37	2021	37	0.07124054780764265
2021_38	2021	38	0.1020998933729953
2021_39	2021	39	0.03634973343594458
2021_40	2021	40	-0.007923921826790277
2021_41	2021	41	0.0061517512631133805
2021_42	2021	42	0.07647237506463962
2021_43	2021	43	0.06982193149249076
2021_44	2021	44	0.030935191600585825
2021_45	2021	45	0.04169171936249467
2021_46	2021	46	-0.0006102480804495487
2021_47	2021	47	0.06443017791475711
2021_48	2021	48	0.05889792273669256
2021_49	2021	49	0.0486899986476627
2021_50	2021	50	0.044181200969140445
2021_51	2021	51	0.0017367050821278853
2021_52	2021	52	0.055147890144984155
2022_01	2022	1	0.0033617108702739796
2022_02	2022	2	0.01822569215553573
2022_03	2022	3	0.03476557012487283
2022_04	2022	4	0.015300313741662241
2022_05	2022	5	0.027656417935545508
2022_06	2022	6	0.0028217555962431074
2022_07	2022	7	-0.0024202230119229296
2022_08	2022	8	-0.001128802037719588
2022_09	2022	9	0.0016371488228235512
2022_10	2022	10	-0.0083442852694785
2022_11	2022	11	-0.01145566769131616
2022_12	2022	12	-0.010435538770075883
2022_13	2022	13	-0.010456968544652584
