state	year_week	cum_excess	cum_excess_0_24	cum_excess_25_44	cum_excess_45_64	cum_excess_65_74	cum_excess_75_84	cum_excess_85
California	2020_11	-1.7125550663255744	-0.0006286092671907249	0.1395679816058336	-0.058514281059265816	-0.07468097428663523	-0.5560938823720658	-1.162205300946253
California	2020_12	-1.5214815427887665	-0.00009392050378464502	0.3268374002225046	0.2633803716932501	0.300833554452276	-0.5817106619250323	-1.8307282867279877
California	2020_13	-0.6340102050691527	-0.0010353170927756509	0.4567645154045419	0.38756039791683383	0.5049026173398588	-0.5346684909206356	-1.447533927716984
California	2020_14	1.2268997240045607	-0.0003244369682798478	0.6211003616886622	0.6188819114416022	0.8212223457235472	-0.0539888704639333	-0.7799915874170473
California	2020_15	4.141946470936194	0.00029921985105917266	0.7562187859224325	1.1348923225345198	1.8812932752501812	0.2214020627571438	0.1478408046208486
California	2020_16	7.661936143724553	0.0008920789295120794	0.9659797345978973	1.7072299599440264	2.719063784128524	0.9114099753564249	1.3573606107681577
California	2020_17	10.136212396973729	0.0015584850334634075	1.1403414644595222	2.087126695647352	3.07033381929989	1.292232892215642	2.544619040317853
California	2020_18	12.10412799538065	0.002329236367218577	1.39298455171912	2.4046196505696056	3.413912461949878	1.4735060098342778	3.4167760849405457
California	2020_19	14.477532717824712	0.0036468470605703334	1.6069022052714768	2.6284867711807136	3.9527182047421947	1.6417409634260247	4.644037726143727
California	2020_20	17.08990852705084	0.005828418332835629	1.8867726967646747	2.9345112550361723	4.750249280376408	1.8092509407698758	5.7032959357708695
California	2020_21	18.48737564730328	0.004576877540858063	2.1233626284391596	3.3728422530858704	5.278033083930363	1.69552710258818	6.013033701718845
California	2020_22	20.334651651548125	0.0012116215290543693	2.341323212714243	3.8679461833717808	5.9137668948676	1.8215065321523856	6.388897206913061
California	2020_23	21.798864933112906	0.00292513814168943	2.5632172591345945	4.202704016382456	6.23154504639726	1.851955955085459	6.946517517971449
California	2020_24	23.61900100431585	0.004069321658085321	2.826339325875459	4.528166988960262	6.937874462213542	2.0946342499531996	7.227916655655305
California	2020_25	24.818712866564894	0.005022619255856033	3.1450537548678863	4.753154087880413	7.260624108394806	2.2805769996246177	7.374281296541318
California	2020_26	27.38324618335647	0.0034591473009157082	3.4792052599500605	5.367934210687778	7.563105152632269	2.685492321116439	8.284050091669005
California	2020_27	31.07955557051898	0.007147805897483211	3.8585331145459847	6.123840613282663	8.242942299135255	3.3890080204266617	9.45808371723093
California	2020_28	35.56257091691823	0.010046812717205167	4.178084523983479	6.926081929071472	9.860853988442097	4.043877834155581	10.543625828548393
California	2020_29	41.20043799214491	0.010829238591298581	4.647173867953285	7.770500818439644	11.305159473049667	4.891705477389775	12.575069116721249
California	2020_30	46.351929748185434	0.01512192039809139	5.0995953455713305	8.891852531004309	12.976304038916563	5.495285403411697	13.87377050888345
California	2020_31	52.62139182462004	0.01604578072473188	5.562961729691962	9.798211780250291	14.872628531152614	6.5515830540109095	15.819960948789541
California	2020_32	58.3158571234361	0.020625173644632056	6.028582746000353	11.008982729063593	16.24291957832493	7.7427305138051485	17.272016382597457
California	2020_33	64.51532466718764	0.02341162116485923	6.528061453468249	11.883033058637759	18.075349511395554	8.495676540557632	19.5097924819636
California	2020_34	71.1484009356769	0.026881983501734312	7.019426243413234	13.177892083926256	19.924813369608543	9.317574715042007	21.681812540185145
California	2020_35	74.76064091610394	0.031009146390843303	7.408672400591844	13.716396069604858	20.851924687947257	9.81616162603407	22.936476985535073
California	2020_36	77.94934223499433	0.032052637936016135	7.650060249226155	14.176358582482754	21.636558229100892	10.304036036439259	24.150276499809266
California	2020_37	81.6246695358087	0.03403754507192637	7.978293132846579	14.939456482203342	22.750529370626943	10.941359148568033	24.9809938564919
California	2020_38	84.61208992463382	0.035947792812975006	8.378163686913576	15.621887288017083	23.608414033152542	11.154588962255163	25.813088161482504
California	2020_39	86.7827561384754	0.0377851206754254	8.684821623379225	15.956207341026564	24.494710712714518	11.205394435598487	26.40383690508122
California	2020_40	88.95593683260186	0.04287554229097208	8.994167421930326	16.509280510497437	25.21101785395971	11.277290550927583	26.92130495299587
California	2020_41	90.54332494591611	0.04521950368250672	9.30552776761459	16.97443931469811	25.484693217153094	11.371010087320915	27.362435055446934
California	2020_42	92.37677330068871	0.04805141786455596	9.617009541690098	17.44703440665477	26.326246226779997	11.585918425336608	27.352513282362718
California	2020_43	92.95383535848853	0.04551449772666114	9.908592972493308	17.80741110318032	26.829338655296727	11.43775956377759	26.92521856601396
California	2020_44	94.20336323563633	0.04786245851094437	10.160588479788853	18.217143784097644	27.035052082644633	11.351524430429702	27.391192000164594
California	2020_45	96.32011820713794	0.050284887226766266	10.555160624962783	18.72618376883113	27.689628408619647	11.661831814508758	27.637028702988893
California	2020_46	99.13835624732593	0.05421094277731567	10.827364408236695	19.398330887050925	28.391148946222003	12.022530815398621	28.444770247640403
California	2020_47	103.37482453921659	0.056319958091273915	11.163026462697083	19.92400716443182	29.573655261192464	12.881091974809468	29.776723717994518
California	2020_48	107.62277990716439	0.058330492926208156	11.44113359983146	20.6120311349892	30.87961723588558	13.525832965905934	31.105834477626054
California	2020_49	114.16568649111576	0.0609146278564896	11.869005422497665	21.523074817536955	32.7996522291272	14.745442601049497	33.167596793048
California	2020_50	125.49369308967854	0.06424647563227644	12.321812523845164	23.409064935132875	35.89581605234662	16.636140114788006	37.16661298793363
California	2020_51	141.4322082591018	0.06656265772902194	12.93258361298491	25.64723421991423	40.46466414170905	19.576844931583913	42.744318695180695
California	2020_52	162.23541806472548	0.06747555574046464	13.589934583499588	28.842894102626666	46.32478351626898	23.376813040227574	50.033517266362225
California	2020_53	186.20177512628325	0.07588133822903816	14.509449653554748	32.30185182764595	53.88786043173015	27.768558370912967	57.658173504210424
California	2021_01	211.7958801535226	0.07709912517615342	15.49977675121223	36.4156896826933	61.81646770456514	32.818763577477895	65.1680833123979
California	2021_02	235.78630311799722	0.08289899016402964	16.35958796317424	40.213835590384605	69.45719420355555	37.6721249641851	72.00066140653371
California	2021_03	255.8555866467787	0.08524332469879663	17.199114569978075	43.534562843363425	76.39256945367988	41.389383695296495	77.25471275976203
California	2021_04	272.82236742274046	0.0883085307549876	18.002649373227122	46.597851058963265	82.30749726829897	44.25448671735956	81.57157447413654
California	2021_05	285.77236848266324	0.09139313251749419	18.602353678718476	48.85230656267186	87.64343237244444	46.63553082203996	83.947351914271
California	2021_06	294.53669729291613	0.09351688989917675	19.21945565709767	50.827208235084406	91.23000898602352	47.64924422988577	85.5172632949256
California	2021_07	299.5062507936801	0.09136240929211117	19.586573585007457	52.22596002737687	93.71872194439992	48.37851485290822	85.50511797469557
California	2021_08	303.43321184952896	0.09322209200410733	20.101283931021914	53.08943651791066	95.54708248269796	48.90855978305997	85.69362704283438
California	2021_09	305.39680444292225	0.09276072482076911	20.574245816678843	53.811992477807266	97.0810204518766	49.301178845215844	84.53560612652295
California	2021_10	306.61823941427406	0.09419112340996974	20.924191629903962	54.577945656175615	97.72478103521429	49.48692230852993	83.81020766104028
California	2021_11	307.33756796137015	0.09478480518490252	21.462509064504577	54.90060850740371	98.65435708426546	49.31250221176333	82.91280628824813
California	2021_12	307.8729540079969	0.09793715266124847	21.872668623733507	55.43184225846122	99.12676801917857	49.39531815542834	81.94841979853398
California	2021_13	308.732359455507	0.09947019537595544	22.33817522865638	55.7982624615802	99.45238730884789	49.4717141250385	81.57235013600804
California	2021_14	307.8429763843792	0.09914466510776432	22.69111186582624	56.146523227966874	99.66781367839793	48.970628180839725	80.26775476624064
California	2021_15	307.29648775390365	0.09973929825316553	22.986054625689686	56.503376877427314	99.84316203550945	48.452024810482214	79.41213010654178
California	2021_16	307.1357161411168	0.10218719086863452	23.371849033893778	56.66477064094432	100.08914486780145	48.21662353616303	78.69114087144555
California	2021_17	306.884177640941	0.10208028612401397	23.640285757957226	57.04191802137272	100.19184529069776	47.972596280896525	77.9354520038927
California	2021_18	306.8193719800574	0.10470523744927206	23.940605454729024	57.58738535416906	100.20297574483004	47.54177598037227	77.44192420850764
California	2021_19	306.97455333219216	0.10788371649823209	24.220529923472427	57.810277280182056	100.61970445979037	47.474385016290846	76.74177293595814
California	2021_20	307.3096191424247	0.11042007732106096	24.68602602624627	58.18345838382721	101.33536271990933	47.10433509340186	75.89001684171892
California	2021_21	307.6185296437968	0.11327977086437041	24.93554492131243	58.66480058414852	101.65926921661058	46.972020018681135	75.27361513217969
California	2021_22	307.46073237116474	0.11300669283192025	25.380099933704425	58.895549735171336	101.6681778594147	46.6926044137707	74.71129373627156
California	2021_23	307.2036421516025	0.11382118364251809	25.762526591999737	59.21761728764173	101.91411973736585	46.45558955933713	73.7399677916154
California	2021_24	308.358261518342	0.11632754342822668	26.23072938503084	59.749255577759335	102.48019986661214	46.45095567071282	73.33079347479848
California	2021_25	308.8144895194697	0.1187728999763413	26.61965487642152	60.08750725903782	102.59618803836742	46.3937566523852	72.99860979328126
California	2021_26	309.2281291245431	0.12006851409511352	27.061677774664748	60.43883176852163	102.54529171046293	46.28086417689568	72.78139517990286
California	2021_27	310.24512684558306	0.12274160093682329	27.492678169437347	60.68570039352612	102.78393620045294	46.396008981495974	72.76406149973373
California	2021_28	311.13000824319676	0.12613028126121903	27.929547302208004	61.003682852518196	103.33297730374017	46.357061001227365	72.38060950224167
California	2021_29	312.8571939389046	0.12662975291790443	28.30953082656086	61.53362066014169	103.76551624651229	46.6890058023539	72.43289065041779
California	2021_30	314.87664569631363	0.12652672949999896	28.73595395285308	62.02765604265705	104.30454393413804	46.678096853129944	73.00386818403537
California	2021_31	318.1977278415393	0.12755061528821968	29.311208492453513	62.7401628554138	105.36406164078677	46.98699526694239	73.66774897065446
California	2021_32	322.9443012037573	0.12961585955783597	29.87017914202013	63.86646494561044	106.930381162482	47.691077801870854	74.45658229221588
California	2021_33	328.8710384006338	0.1315041148215391	30.69845746080371	64.99902767448849	108.68717317170314	48.28226093131935	76.0726150474974
California	2021_34	334.5744990564069	0.13546331711757478	31.364734547902533	66.53958422691653	110.59533050770784	49.00452296422216	76.9348634925401
