state	year_week	cum_baseline	cum_baseline_0_24	cum_baseline_25_44	cum_baseline_45_64	cum_baseline_65_74	cum_baseline_75_84	cum_baseline_85	cum_excess	cum_excess_0_24	cum_excess_25_44	cum_excess_45_64	cum_excess_65_74	cum_excess_75_84	cum_excess_85
Alabama	2020_11	22.465773958255273	0.4740224452707415	1.1892090274497287	4.521515473373896	4.992361978957425	5.6628290812068585	5.625835951996622	-0.7534857982322656	0.003608001210962497	-0.13444077220039463	0.3940980689757003	-0.3951603477956471	-0.17007440205472513	-0.4515163463681606
Alabama	2020_12	44.098659289411444	0.9889193006920993	2.2468683609086995	9.067524648849488	9.57070394956515	11.285683168275309	10.93895986112069	-1.310921222573171	-0.11326348214230858	-0.2567395774193897	-0.01244707083707386	0.4595541547878179	-0.32007509504043696	-1.067950151921779
Alabama	2020_13	65.39312529192098	1.471453306370298	3.3083407146090793	13.42929540474932	14.16834691870461	16.795391894044307	16.220297053443357	-1.251322976019864	-0.21767338435582495	-0.04452950968661118	0.421988099199341	0.10088931308324245	-0.5559432774206119	-0.9560542168393944
Alabama	2020_14	87.07534015974034	2.1191729776606687	4.35768913537758	17.93943435470305	18.62045657716662	22.42617036710629	21.612416747726108	0.07233365171719441	-0.3479600719576832	0.19970577881293972	1.2453893490419352	0.6440074010351129	-0.5944606459835038	-1.074348159231599
Alabama	2020_15	108.10434895676539	2.613384357279374	5.468392838420582	22.357792487844662	23.04501916327822	27.931936320997885	26.68782378894466	1.6312697133757013	-0.38444227369808864	0.10396775534948555	1.5834346030321198	1.5330934535390757	-0.4880642103066162	-0.7167196145402661
Alabama	2020_16	129.36367736438064	3.091304950056199	6.567508371464735	26.70389065691713	27.721020302539692	33.43858384523734	31.84136923816552	3.2385020723023814	-0.3250286141829967	0.07952176538956057	2.1131474375047947	1.494096556964589	-0.12383263907549225	0.000597565701934144
Alabama	2020_17	150.58329849987612	3.685796817855203	7.575847171084338	30.924646631338746	32.48126470343136	39.018502386798154	36.89724078936831	4.6864308998821755	-0.481692572707105	0.8822001587452284	2.6686961196171994	1.5300668448607508	-0.1512926462759996	0.23845299564210976
Alabama	2020_18	171.3707516039023	4.151973862304358	8.752131243973075	35.109331912103514	37.12374548012972	44.47726839024433	41.756300715147304	6.725738446558125	-0.33093029045072536	0.9198946437849702	3.0015989931575264	2.1017281779649233	0.3603268710953591	0.6731200510060793
Alabama	2020_19	192.3009209942223	4.679223927249118	9.929034620565083	39.26616718191062	41.831852969287596	49.78091757632272	46.81372471888717	9.099960320435656	-0.4004511775171857	1.2753904304797303	3.999192498526721	2.6475654101347903	0.6887413596548466	0.8895217991567597
Alabama	2020_20	212.91406986983327	5.197816951020453	11.036121683283572	43.65204255404291	46.05150288040921	55.10953423294163	51.86705156813548	11.333471491342731	-0.381709948996604	1.3623806378548275	5.066264942604103	3.224130187801002	0.6538665314941525	1.4085391405852556
