year_week	year	week	excess_ttl
2020_01	2020	1	-0.04836443922538425
2020_02	2020	2	-0.0636284384209718
2020_03	2020	3	-0.023056340875034338
2020_04	2020	4	-0.05771913905741284
2020_05	2020	5	-0.03883823148521888
2020_06	2020	6	-0.031130948745151217
2020_07	2020	7	-0.012805968789781205
2020_08	2020	8	-0.009618363658623402
2020_09	2020	9	0.045399709742831876
2020_10	2020	10	-0.005905944754192204
2020_11	2020	11	-0.011334184846316457
2020_12	2020	12	0.0034381740565896275
2020_13	2020	13	-0.03784973198417729
2020_14	2020	14	0.08071274692423161
2020_15	2020	15	0.03784451095724461
2020_16	2020	16	0.10904587362284048
2020_17	2020	17	0.17317702889689665
2020_18	2020	18	0.11015856320920003
2020_19	2020	19	0.14852507893107963
2020_20	2020	20	0.11298601787991847
2020_21	2020	21	0.059628744998563236
2020_22	2020	22	0.09179703885037427
2020_23	2020	23	0.010351913972311234
2020_24	2020	24	-0.026071802853949617
2020_25	2020	25	0.026899928119746078
2020_26	2020	26	0.03346313738422525
2020_27	2020	27	0.0006272673773675051
2020_28	2020	28	-0.007129729042209625
2020_29	2020	29	-0.020284326269623107
2020_30	2020	30	-0.0033300224200521955
2020_31	2020	31	0.035554376122809
2020_32	2020	32	0.01031136354919702
2020_33	2020	33	0.015921667112721787
2020_34	2020	34	0.030258952889487205
2020_35	2020	35	0.025402941655324845
2020_36	2020	36	-0.005672706496839635
2020_37	2020	37	0.03564559180033089
2020_38	2020	38	-0.02320112184365969
2020_39	2020	39	0.02792691270079926
2020_40	2020	40	0.019669075310321013
2020_41	2020	41	0.0009078546024322512
2020_42	2020	42	0.019712586321051655
2020_43	2020	43	0.035607650315792
2020_44	2020	44	0.003081309415841322
2020_45	2020	45	0.008680423634592278
2020_46	2020	46	0.03502996632255554
2020_47	2020	47	0.07253927234520481
2020_48	2020	48	0.0834148303121543
2020_49	2020	49	0.06945028961078621
2020_50	2020	50	0.10549951704443844
2020_51	2020	51	0.13716827702949735
2020_52	2020	52	0.1332236668900616
2021_01	2021	1	0.013370216199800887
2021_02	2021	2	0.05143359260476528
2021_03	2021	3	0.03321727152448287
2021_04	2021	4	-0.019652697192909224
2021_05	2021	5	0.020649167245754947
2021_06	2021	6	-0.009149120608949473
2021_07	2021	7	0.028631061025893814
2021_08	2021	8	0.026686187675649554
2021_09	2021	9	0.013691414944184197
2021_10	2021	10	-0.019219948502284534
2021_11	2021	11	-0.009731157658688244
2021_12	2021	12	-0.05938208522649603
2021_13	2021	13	-0.06299482055891888
2021_14	2021	14	-0.04428356648667586
2021_15	2021	15	-0.05609981817111248
2021_16	2021	16	-0.029332251104950604
2021_17	2021	17	-0.007897547787014002
2021_18	2021	18	-0.04246897003935082
2021_19	2021	19	0.0092197154410004
2021_20	2021	20	0.0002429912572631412
2021_21	2021	21	-0.04879122505337301
2021_22	2021	22	-0.03206959796592806
2021_23	2021	23	-0.05110518501807996
2021_24	2021	24	-0.07504430189611319
2021_25	2021	25	0.01453943115109999
2021_26	2021	26	-0.0046799592974555975
2021_27	2021	27	0.01954720864870403
2021_28	2021	28	-0.0428952524720682
2021_29	2021	29	0.014164539656773036
2021_30	2021	30	0.00447769877687091
2021_31	2021	31	0.059457761739973886
2021_32	2021	32	0.03734276369880323
2021_33	2021	33	0.04912448369865715
2021_34	2021	34	0.04582264543207493
2021_35	2021	35	0.06259973153485128
2021_36	2021	36	0.021239970172288666
2021_37	2021	37	0.07126468525139645
2021_38	2021	38	0.08492865404460709
2021_39	2021	39	0.038870363348052
2021_40	2021	40	-0.008081053772306423
2021_41	2021	41	0.006298224891967445
2021_42	2021	42	0.06872964365973339
2021_43	2021	43	0.046534108115107345
2021_44	2021	44	0.04291164999867259
2021_45	2021	45	0.038244132095764556
2021_46	2021	46	-0.008309486098640526
2021_47	2021	47	0.05354557508671533
2021_48	2021	48	0.05904848709641358
2021_49	2021	49	0.04938059097996479
2021_50	2021	50	0.05552890755357149
2021_51	2021	51	-0.001614165438456716
2021_52	2021	52	0.0589208254700659
2022_01	2022	1	0.0034641203346514548
2022_02	2022	2	0.025505805697206615
2022_03	2022	3	0.056739536575863656
2022_04	2022	4	0.018018450410817306
2022_05	2022	5	0.030471703056743273
2022_06	2022	6	0.00043881469787843434
2022_07	2022	7	-0.004932953995711671
2022_08	2022	8	-0.0025366974350638028
2022_09	2022	9	0.004766670199778137
2022_10	2022	10	-0.011174321574515401
2022_11	2022	11	-0.0032331226817734846
2022_12	2022	12	-0.012156238322355621
2022_13	2022	13	-0.01662266115931169
2022_14	2022	14	-0.012424190300639418
2022_15	2022	15	-0.009152359534940925
2022_16	2022	16	-0.006991701075616827
2022_17	2022	17	-0.012764287336725123
2022_18	2022	18	-0.011044713679623003
2022_19	2022	19	0.0037787796693324258
