year_week	year	week	excess_ttl
2020_01	2020	1	0.06663122207195069
2020_02	2020	2	0.05833000660319771
2020_03	2020	3	0.011898774319412582
2020_04	2020	4	0.013384001798901184
2020_05	2020	5	0.03337051329875967
2020_06	2020	6	0.012339512636600007
2020_07	2020	7	-0.010717638409047414
2020_08	2020	8	0.08034321578364279
2020_09	2020	9	0.001943711538692957
2020_10	2020	10	0.012342053760626047
2020_11	2020	11	0.03143160113681124
2020_12	2020	12	-0.003946851385632844
2020_13	2020	13	-0.0016572891900928147
2020_14	2020	14	0.05576615542792164
2020_15	2020	15	0.00424799140448363
2020_16	2020	16	-0.008299682883664916
2020_17	2020	17	0.05126085789694377
2020_18	2020	18	0.01239214215180517
2020_19	2020	19	0.01899820287830198
2020_20	2020	20	0.020220262679748857
2020_21	2020	21	0.04413883766555651
2020_22	2020	22	0.07942196755635803
2020_23	2020	23	0.06578425630276084
2020_24	2020	24	0.03520486094949781
2020_25	2020	25	0.04491720163613921
2020_26	2020	26	0.09993732884257972
2020_27	2020	27	0.025414018818836166
2020_28	2020	28	0.03469068147263211
2020_29	2020	29	0.05031535004694089
2020_30	2020	30	0.10987547718422931
2020_31	2020	31	0.08401098595701405
2020_32	2020	32	0.10709886190623362
2020_33	2020	33	0.09324687221178865
2020_34	2020	34	0.05850948820731739
2020_35	2020	35	0.13006586512898632
2020_36	2020	36	0.03989176545538309
2020_37	2020	37	0.04292689873412862
2020_38	2020	38	0.060881216496792505
2020_39	2020	39	0.0936824684295112
2020_40	2020	40	0.054342783493080214
2020_41	2020	41	0.13660498839047117
2020_42	2020	42	0.08082453660706343
2020_43	2020	43	0.11203269799082069
2020_44	2020	44	0.18199283414004977
2020_45	2020	45	0.10403644553129342
2020_46	2020	46	0.1361118529858213
2020_47	2020	47	0.162403239802076
2020_48	2020	48	0.18710915685671436
2020_49	2020	49	0.12275265311158783
2020_50	2020	50	0.13173343081871258
2020_51	2020	51	0.1609064924789683
2020_52	2020	52	0.16634913840848084
2021_01	2021	1	0.13850707524854108
2021_02	2021	2	0.12263759164929379
2021_03	2021	3	0.0970278094146602
2021_04	2021	4	0.05546410965151006
2021_05	2021	5	0.10410495604889204
2021_06	2021	6	0.08157761510540197
2021_07	2021	7	0.029623100383011837
2021_08	2021	8	0.053738732067622814
2021_09	2021	9	0.05518041661499582
2021_10	2021	10	0.018183006575244468
2021_11	2021	11	0.015491492125802576
2021_12	2021	12	0.08450892944744497
2021_13	2021	13	0.01688574819782795
2021_14	2021	14	0.05697339760196038
2021_15	2021	15	0.05849450155427323
2021_16	2021	16	0.05553158313619434
2021_17	2021	17	0.13301921917444573
2021_18	2021	18	0.08060966968707134
2021_19	2021	19	0.017979012769454357
2021_20	2021	20	0.055068205785270954
2021_21	2021	21	0.1011734566227346
2021_22	2021	22	0.09336527795431426
2021_23	2021	23	0.017638003928985325
2021_24	2021	24	0.052877698760599924
2021_25	2021	25	0.04917019196771356
2021_26	2021	26	0.148935459079845
2021_27	2021	27	0.04508286286054379
2021_28	2021	28	0.03734252727407549
2021_29	2021	29	0.04936697739199948
2021_30	2021	30	0.10734327943514885
2021_31	2021	31	0.16299116715665254
2021_32	2021	32	0.11973882662653508
2021_33	2021	33	0.22004990705341526
2021_34	2021	34	0.1867006399891308
2021_35	2021	35	0.25890719672492224
2021_36	2021	36	0.26194468131498766
2021_37	2021	37	0.2726098249750126
2021_38	2021	38	0.24606129698433568
2021_39	2021	39	0.2741045485101215
2021_40	2021	40	0.31130589694766564
2021_41	2021	41	0.24172634821580186
2021_42	2021	42	0.2643445807423735
2021_43	2021	43	0.2505488151044903
2021_44	2021	44	0.2977947197583513
2021_45	2021	45	0.16861515923609907
2021_46	2021	46	0.19046115795643087
2021_47	2021	47	0.20835501825633673
2021_48	2021	48	0.2238722026546615
2021_49	2021	49	0.22052726798378414
2021_50	2021	50	0.16548903299372972
2021_51	2021	51	0.13399294229203307
2021_52	2021	52	0.139535358680158
2022_01	2022	1	0.059383701045484086
2022_02	2022	2	0.06767563880012122
2022_03	2022	3	0.04661518871050639
2022_04	2022	4	0.051949059742579774
2022_05	2022	5	0.07455634422221145
2022_06	2022	6	0.04961231234244694
2022_07	2022	7	0.031664053520745444
2022_08	2022	8	0.0331858101738047
2022_09	2022	9	0.018064910452426596
2022_10	2022	10	0.002010601395291899
2022_11	2022	11	0.006275403632581025
2022_12	2022	12	0.00604407551740252
2022_13	2022	13	-0.02059992938230504
2022_14	2022	14	0.0076280211256454485
2022_15	2022	15	-0.025141022743536766
2022_16	2022	16	-0.0241715341996868
2022_17	2022	17	-0.04530296244888383
2022_18	2022	18	-0.06538701138025017
