year_week	year	week	excess_ttl
2020_01	2020	1	-0.056140994939699596
2020_02	2020	2	-0.11858745121929597
2020_03	2020	3	-0.07469802232441061
2020_04	2020	4	-0.03853437346387616
2020_05	2020	5	0.024590682902051225
2020_06	2020	6	-0.03723703316486039
2020_07	2020	7	0.08185897288078509
2020_08	2020	8	-0.08927202441840763
2020_09	2020	9	-0.07744492619684736
2020_10	2020	10	0.004877496217134226
2020_11	2020	11	-0.012629949671303084
2020_12	2020	12	-0.011797098916591605
2020_13	2020	13	0.1339669916465899
2020_14	2020	14	0.08794254897623534
2020_15	2020	15	0.044980710682245344
2020_16	2020	16	-0.07085005215007519
2020_17	2020	17	0.0843778252222895
2020_18	2020	18	0.018384331714021707
2020_19	2020	19	-0.013250549263979226
2020_20	2020	20	0.18590767280973644
2020_21	2020	21	-0.04364763122379979
2020_22	2020	22	0.05028539234696747
2020_23	2020	23	0.13181687077496168
2020_24	2020	24	0.053987589823447035
2020_25	2020	25	-0.02009018043203982
2020_26	2020	26	0.5079420878629898
2020_27	2020	27	0.2933220162774397
2020_28	2020	28	0.0677747971298984
2020_29	2020	29	0.26424392039060024
2020_30	2020	30	0.11014275775559552
2020_31	2020	31	0.2349785117742873
2020_32	2020	32	0.2847771643640637
2020_33	2020	33	0.24746286299055315
2020_34	2020	34	0.1269322602540061
2020_35	2020	35	0.48568712465960556
2020_36	2020	36	0.5837903483524567
2020_37	2020	37	0.28783653970752016
2020_38	2020	38	0.05773255076729779
2020_39	2020	39	0.03910840484769694
2020_40	2020	40	-0.07488886318710462
2020_41	2020	41	0.4834288328278692
2020_42	2020	42	0.31010505621888207
2020_43	2020	43	0.22181451857488962
2020_44	2020	44	0.10197410426305854
2020_45	2020	45	0.32904092936718576
2020_46	2020	46	0.3151458805906354
2020_47	2020	47	0.25430709417431846
2020_48	2020	48	0.28162331933662005
2020_49	2020	49	0.2174839305028106
2020_50	2020	50	0.18700914116284129
2020_51	2020	51	0.19106895706429564
2020_52	2020	52	0.304444728954016
2021_01	2021	1	0.057710188771588775
2021_02	2021	2	-0.010864181331289581
2021_03	2021	3	-0.02230653532397615
2021_04	2021	4	0.20748016526837051
2021_05	2021	5	0.15697166598333728
2021_06	2021	6	0.12113014330499305
2021_07	2021	7	0.1090998159410969
2021_08	2021	8	-0.07958914095900699
2021_09	2021	9	0.1936914694803053
2021_10	2021	10	-0.02172926611316223
2021_11	2021	11	0.10345782260317826
2021_12	2021	12	0.12501945848953205
2021_13	2021	13	0.34111956377839553
2021_14	2021	14	0.2046819230883281
2021_15	2021	15	0.09260307454409014
2021_16	2021	16	0.15212423779005219
2021_17	2021	17	0.09313514658296561
2021_18	2021	18	0.22534260093059447
2021_19	2021	19	0.21536918136462543
2021_20	2021	20	0.2679781954838658
2021_21	2021	21	0.017575430377262176
2021_22	2021	22	-0.07132221293096731
2021_23	2021	23	0.2210762042178891
2021_24	2021	24	0.4509324287899011
2021_25	2021	25	0.05800244868114413
2021_26	2021	26	0.16554115334835726
2021_27	2021	27	0.14236696376796198
2021_28	2021	28	0.40551828754504
2021_29	2021	29	0.1539052428469947
2021_30	2021	30	0.3321321715238843
2021_31	2021	31	0.04399531653531981
2021_32	2021	32	0.37442320009505237
2021_33	2021	33	0.45588543641162965
2021_34	2021	34	0.2996444110039213
2021_35	2021	35	0.4075516923801523
2021_36	2021	36	0.4031724049498235
2021_37	2021	37	0.09815831547160933
2021_38	2021	38	0.3983090356774438
2021_39	2021	39	0.5866503617856035
2021_40	2021	40	0.3355279577274945
2021_41	2021	41	0.6914926753289723
2021_42	2021	42	0.7432957327792287
2021_43	2021	43	0.3784380008709479
2021_44	2021	44	0.7269277558277192
2021_45	2021	45	0.5044095883414305
2021_46	2021	46	0.563909945315378
2021_47	2021	47	0.38502213084074277
2021_48	2021	48	0.22791939664980038
2021_49	2021	49	0.3202172863560245
2021_50	2021	50	0.3963479596171588
2021_51	2021	51	0.374634652762078
2021_52	2021	52	0.3772737135612321
2022_01	2022	1	0.046762025215840455
2022_02	2022	2	0.0064336958805746155
2022_03	2022	3	0.010179638239062377
2022_04	2022	4	0.02930280561385566
2022_05	2022	5	0.03509022261330017
2022_06	2022	6	0.05453914614341367
2022_07	2022	7	0.1273450762831704
2022_08	2022	8	-0.0069547723438690605
2022_09	2022	9	0.11061875557671955
2022_10	2022	10	0.005882139201030461
2022_11	2022	11	0.023620544783622216
2022_12	2022	12	0.01500125092743935
2022_13	2022	13	-0.02186415490626062
2022_14	2022	14	-0.049094994081661736
2022_15	2022	15	0.004291384476456678
2022_16	2022	16	-0.03444099832389923
2022_17	2022	17	-0.004787592386811777
